n.subj,n.item,power_syntax,n.sim
150,5,0.6,20
200,5,0.7,20
250,5,0.75,20
300,5,0.9,20
350,5,0.75,20
400,5,0.95,20
450,5,0.8,20
500,5,0.9,20
600,5,0.85,20
150,5,0.625,40
200,5,0.725,40
250,5,0.725,40
300,5,0.9,40
350,5,0.85,40
400,5,0.925,40
450,5,0.8,40
500,5,0.875,40
600,5,0.9,40
150,5,0.65,60
200,5,0.733,60
250,5,0.75,60
300,5,0.883,60
350,5,0.8,60
400,5,0.883,60
450,5,0.833,60
500,5,0.9,60
600,5,0.883,60
150,5,0.662,80
200,5,0.738,80
250,5,0.762,80
300,5,0.875,80
350,5,0.8,80
400,5,0.9,80
450,5,0.838,80
500,5,0.9,80
600,5,0.875,80
150,5,0.67,100
200,5,0.75,100
250,5,0.79,100
300,5,0.87,100
350,5,0.78,100
400,5,0.89,100
450,5,0.86,100
500,5,0.88,100
600,5,0.87,100
150,5,0.667,120
200,5,0.733,120
250,5,0.8,120
300,5,0.858,120
350,5,0.783,120
400,5,0.9,120
450,5,0.867,120
500,5,0.875,120
600,5,0.892,120
150,5,0.657,140
200,5,0.75,140
250,5,0.793,140
300,5,0.879,140
350,5,0.786,140
400,5,0.907,140
450,5,0.871,140
500,5,0.864,140
600,5,0.907,140
150,5,0.656,160
200,5,0.744,160
250,5,0.794,160
300,5,0.869,160
350,5,0.8,160
400,5,0.888,160
450,5,0.881,160
500,5,0.869,160
600,5,0.9,160
150,5,0.661,180
200,5,0.739,180
250,5,0.783,180
300,5,0.872,180
350,5,0.8,180
400,5,0.878,180
450,5,0.872,180
500,5,0.872,180
600,5,0.894,180
150,5,0.655,200
200,5,0.73,200
250,5,0.79,200
300,5,0.875,200
350,5,0.79,200
400,5,0.87,200
450,5,0.875,200
500,5,0.86,200
600,5,0.89,200
