n.subj,power_syntax,n.sim
150,0.66,50
200,0.78,50
250,0.74,50
300,0.9,50
350,0.8,50
400,0.88,50
450,0.82,50
500,0.9,50
600,0.88,50
150,0.67,100
200,0.75,100
250,0.79,100
300,0.87,100
350,0.78,100
400,0.89,100
450,0.86,100
500,0.88,100
600,0.87,100
150,0.667,150
200,0.747,150
250,0.793,150
300,0.873,150
350,0.793,150
400,0.88,150
450,0.873,150
500,0.86,150
600,0.913,150
150,0.655,200
200,0.73,200
250,0.79,200
300,0.875,200
350,0.79,200
400,0.87,200
450,0.875,200
500,0.86,200
600,0.89,200
150,0.664,250
200,0.748,250
250,0.8,250
300,0.88,250
350,0.808,250
400,0.876,250
450,0.864,250
500,0.872,250
600,0.896,250
150,0.643,300
200,0.757,300
250,0.8,300
300,0.873,300
350,0.797,300
400,0.857,300
450,0.867,300
500,0.88,300
600,0.893,300
150,0.654,350
200,0.749,350
250,0.806,350
300,0.863,350
350,0.8,350
400,0.854,350
450,0.871,350
500,0.874,350
600,0.893,350
150,0.665,400
200,0.745,400
250,0.805,400
300,0.852,400
350,0.802,400
400,0.858,400
450,0.868,400
500,0.875,400
600,0.893,400
