n.subj,n.item,power_syntax,n.sim
150,6,0.7,20
150,8,0.85,20
150,10,0.75,20
200,6,0.8,20
200,8,0.75,20
200,10,0.7,20
250,6,0.85,20
250,8,0.8,20
250,10,0.9,20
300,6,0.95,20
300,8,0.95,20
300,10,0.85,20
350,6,0.7,20
350,8,0.85,20
350,10,0.95,20
400,6,0.85,20
400,8,0.85,20
400,10,0.9,20
450,6,0.9,20
450,8,0.95,20
450,10,0.95,20
500,6,0.95,20
500,8,0.95,20
500,10,0.95,20
600,6,1,20
600,8,1,20
600,10,0.9,20
150,6,0.775,40
150,8,0.85,40
150,10,0.75,40
200,6,0.8,40
200,8,0.8,40
200,10,0.8,40
250,6,0.875,40
250,8,0.825,40
250,10,0.9,40
300,6,0.875,40
300,8,0.925,40
300,10,0.85,40
350,6,0.7,40
350,8,0.875,40
350,10,0.95,40
400,6,0.85,40
400,8,0.825,40
400,10,0.9,40
450,6,0.875,40
450,8,0.9,40
450,10,0.95,40
500,6,0.875,40
500,8,0.925,40
500,10,0.875,40
600,6,0.975,40
600,8,0.95,40
600,10,0.95,40
150,6,0.75,60
150,8,0.833,60
150,10,0.8,60
200,6,0.767,60
200,8,0.833,60
200,10,0.833,60
250,6,0.883,60
250,8,0.833,60
250,10,0.9,60
300,6,0.883,60
300,8,0.933,60
300,10,0.883,60
350,6,0.767,60
350,8,0.9,60
350,10,0.917,60
400,6,0.85,60
400,8,0.833,60
400,10,0.867,60
450,6,0.883,60
450,8,0.917,60
450,10,0.933,60
500,6,0.917,60
500,8,0.933,60
500,10,0.867,60
600,6,0.967,60
600,8,0.95,60
600,10,0.933,60
150,6,0.775,80
150,8,0.812,80
150,10,0.75,80
200,6,0.8,80
200,8,0.775,80
200,10,0.838,80
250,6,0.85,80
250,8,0.825,80
250,10,0.862,80
300,6,0.9,80
300,8,0.938,80
300,10,0.875,80
350,6,0.788,80
350,8,0.912,80
350,10,0.912,80
400,6,0.875,80
400,8,0.875,80
400,10,0.875,80
450,6,0.875,80
450,8,0.912,80
450,10,0.912,80
500,6,0.888,80
500,8,0.938,80
500,10,0.875,80
600,6,0.95,80
600,8,0.925,80
600,10,0.95,80
150,6,0.79,100
150,8,0.8,100
150,10,0.74,100
200,6,0.81,100
200,8,0.78,100
200,10,0.8,100
250,6,0.85,100
250,8,0.84,100
250,10,0.88,100
300,6,0.86,100
300,8,0.91,100
300,10,0.9,100
350,6,0.79,100
350,8,0.91,100
350,10,0.93,100
400,6,0.87,100
400,8,0.89,100
400,10,0.87,100
450,6,0.89,100
450,8,0.93,100
450,10,0.9,100
500,6,0.88,100
500,8,0.94,100
500,10,0.89,100
600,6,0.94,100
600,8,0.93,100
600,10,0.95,100
150,6,0.758,120
150,8,0.8,120
150,10,0.742,120
200,6,0.817,120
200,8,0.792,120
200,10,0.825,120
250,6,0.842,120
250,8,0.85,120
250,10,0.875,120
300,6,0.85,120
300,8,0.908,120
300,10,0.908,120
350,6,0.792,120
350,8,0.908,120
350,10,0.925,120
400,6,0.883,120
400,8,0.892,120
400,10,0.883,120
450,6,0.883,120
450,8,0.925,120
450,10,0.9,120
500,6,0.883,120
500,8,0.933,120
500,10,0.9,120
600,6,0.95,120
600,8,0.925,120
600,10,0.958,120
150,6,0.757,140
150,8,0.779,140
150,10,0.714,140
200,6,0.829,140
200,8,0.793,140
200,10,0.843,140
250,6,0.836,140
250,8,0.843,140
250,10,0.871,140
300,6,0.85,140
300,8,0.9,140
300,10,0.886,140
350,6,0.8,140
350,8,0.893,140
350,10,0.929,140
400,6,0.893,140
400,8,0.879,140
400,10,0.893,140
450,6,0.879,140
450,8,0.907,140
450,10,0.9,140
500,6,0.9,140
500,8,0.914,140
500,10,0.9,140
600,6,0.957,140
600,8,0.936,140
600,10,0.95,140
150,6,0.769,160
150,8,0.762,160
150,10,0.719,160
200,6,0.819,160
200,8,0.794,160
200,10,0.85,160
250,6,0.85,160
250,8,0.838,160
250,10,0.869,160
300,6,0.856,160
300,8,0.906,160
300,10,0.894,160
350,6,0.819,160
350,8,0.894,160
350,10,0.925,160
400,6,0.888,160
400,8,0.881,160
400,10,0.906,160
450,6,0.869,160
450,8,0.906,160
450,10,0.906,160
500,6,0.906,160
500,8,0.925,160
500,10,0.894,160
600,6,0.962,160
600,8,0.944,160
600,10,0.95,160
150,6,0.778,180
150,8,0.75,180
150,10,0.722,180
200,6,0.822,180
200,8,0.806,180
200,10,0.861,180
250,6,0.844,180
250,8,0.844,180
250,10,0.861,180
300,6,0.861,180
300,8,0.889,180
300,10,0.894,180
350,6,0.822,180
350,8,0.889,180
350,10,0.933,180
400,6,0.883,180
400,8,0.872,180
400,10,0.917,180
450,6,0.861,180
450,8,0.9,180
450,10,0.906,180
500,6,0.878,180
500,8,0.922,180
500,10,0.894,180
600,6,0.961,180
600,8,0.933,180
600,10,0.956,180
150,6,0.785,200
150,8,0.74,200
150,10,0.72,200
200,6,0.815,200
200,8,0.8,200
200,10,0.87,200
250,6,0.825,200
250,8,0.86,200
250,10,0.86,200
300,6,0.86,200
300,8,0.885,200
300,10,0.885,200
350,6,0.82,200
350,8,0.885,200
350,10,0.94,200
400,6,0.89,200
400,8,0.86,200
400,10,0.91,200
450,6,0.865,200
450,8,0.905,200
450,10,0.915,200
500,6,0.885,200
500,8,0.92,200
500,10,0.895,200
600,6,0.955,200
600,8,0.92,200
600,10,0.96,200
