key,mean,lower,upper,n.subj,n.item,seed
b_Intercept,3.159259526414714,2.5776473142958625,3.796972374671328,350,8,1
b_syntax_dev1,0.9553331192343596,0.7393822112794511,1.193421629175645,350,8,1
b_syntax_dev1:trial_dev1,-0.05947417297249279,-0.25828393347378836,0.13353664029012402,350,8,1
b_trial_dev1,-0.3716776401633183,-0.863751894297698,0.10930190991975251,350,8,1
critical_pred,2.51612987437118,1.7555006115832712,3.319371307621842,350,8,1
critical_subj,4.545744458784885,3.672854416324122,5.485275256237659,350,8,1
filler_pred,1.8917229399895292,1.1560957203804334,2.682944842195667,350,8,1
filler_subj,3.683440832513263,2.854178139533251,4.574769294263509,350,8,1
syntax_critical,2.0296145844137046,1.4415509047517603,2.6685275421403154,350,8,1
syntax_filler,1.7917178925237336,1.2214628183658396,2.385368353176776,350,8,1
b_Intercept,3.1525257004258047,2.6947059392406354,3.675958575809763,350,8,2
b_syntax_dev1,0.32403721533337604,0.05805308299786067,0.5907657100732416,350,8,2
b_syntax_dev1:trial_dev1,0.2470741516707658,-0.18536455032493998,0.684048520285616,350,8,2
b_trial_dev1,0.047327076138040686,-0.3267166516595276,0.43183904599253375,350,8,2
critical_pred,3.028235560625154,2.2578759134420676,3.871785330247238,350,8,2
critical_subj,3.1821616879503742,2.4161946717947917,4.00039975769602,350,8,2
filler_pred,2.6287414095597037,1.8920725629082433,3.405867672756576,350,8,2
filler_subj,3.7709641435679875,2.9670903303142366,4.66936016408914,350,8,2
syntax_critical,0.15392612732522054,-0.8498117601636556,1.1540426471638416,350,8,2
syntax_filler,1.1422227340082838,0.15739054037366015,2.173066999573931,350,8,2
b_Intercept,3.565889859066524,2.9620640039603248,4.256603024663632,350,8,3
b_syntax_dev1,0.34235315378031833,0.11592847293544888,0.5825267123698257,350,8,3
b_syntax_dev1:trial_dev1,0.40634867483059667,0.059203855219164374,0.7619691204896427,350,8,3
b_trial_dev1,-0.8957139066977855,-1.4530414908229814,-0.35673617483831965,350,8,3
critical_pred,4.525599286814588,3.570899720077462,5.610390690667598,350,8,3
critical_subj,4.397608244714031,3.428794662861469,5.44271122826404,350,8,3
filler_pred,1.9214741237578237,1.1278462357136771,2.7606856324638986,350,8,3
filler_subj,3.4188777809796536,2.5638348250252903,4.369629957161069,350,8,3
syntax_critical,-0.12799104210055673,-0.9931605266799012,0.7382684715208668,350,8,3
syntax_filler,1.4974036572218299,0.6905676827162274,2.3603964176581833,350,8,3
b_Intercept,3.2828786941007326,2.6353017371698577,4.035498076636467,350,8,4
b_syntax_dev1,0.763861760325135,0.5457078243021422,0.9990679546799568,350,8,4
b_syntax_dev1:trial_dev1,0.15358961653403236,-0.17609627365093866,0.4825265332259756,350,8,4
b_trial_dev1,0.4377506985418125,-0.13816080184210214,1.0066170202827651,350,8,4
critical_pred,2.2348558517678176,1.3278878202817344,3.2010251305882886,350,8,4
critical_subj,3.4554001393500227,2.523500872658267,4.491304362018398,350,8,4
filler_pred,2.8031780157833777,1.9050637521724452,3.797415306068861,350,8,4
filler_subj,4.6380807695017126,3.65001738057395,5.766961059849671,350,8,4
syntax_critical,1.2205442875822052,0.46484511771518605,2.0118588613397614,350,8,4
syntax_filler,1.8349027537183347,1.040670091252311,2.6735452267594253,350,8,4
b_Intercept,2.6684043434039793,2.1803909659701906,3.1920209178313828,350,8,5
b_syntax_dev1,0.565029388770827,0.3315431236592124,0.8111755640526638,350,8,5
b_syntax_dev1:trial_dev1,-0.010534069250042062,-0.18057591734547349,0.15896493301008377,350,8,5
b_trial_dev1,-0.16563388122896153,-0.43980638627130114,0.10657543623564202,350,8,5
critical_pred,2.2584747666120717,1.6678367003686794,2.8976620232612484,350,8,5
critical_subj,3.40960168265381,2.750214597356905,4.108174834945638,350,8,5
filler_pred,1.9482751426542326,1.3680376793352205,2.562834185331401,350,8,5
filler_subj,3.0572657816958024,2.4174441748570157,3.7498555315565882,350,8,5
syntax_critical,1.1511269160417381,0.574136027293962,1.7534610741120662,350,8,5
syntax_filler,1.1089906390415698,0.533209532687863,1.6997657677061264,350,8,5
b_Intercept,2.983378079050562,2.457845487177609,3.589494595392561,350,8,6
b_syntax_dev1,0.13196495786398266,-0.03720995789875338,0.31189820865589735,350,8,6
b_syntax_dev1:trial_dev1,-0.09943066641470473,-0.34967877354413274,0.14586218881658086,350,8,6
b_trial_dev1,-0.6602508942122283,-1.0717067975822874,-0.27070128182611825,350,8,6
critical_pred,3.412233348984103,2.6824757689973073,4.235172361032399,350,8,6
critical_subj,3.8750245975414774,3.1172985173111063,4.731287132899792,350,8,6
filler_pred,2.290592893389056,1.6172226235465326,3.01892429135897,350,8,6
filler_subj,2.3556614762876116,1.6757596755973332,3.098110044583104,350,8,6
syntax_critical,0.46279124855737475,-0.1365031491315498,1.1108091267444686,350,8,6
syntax_filler,0.06506858289855585,-0.5119954825010659,0.6482290146320726,350,8,6
b_Intercept,3.0833375389480486,2.5497224520959323,3.671405460283115,350,8,7
b_syntax_dev1,0.6809758127729054,0.49208555254576636,0.8842456057603207,350,8,7
