submission_id,question,response1,sentence_left,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,trials,correct2,pic_spec,understand,text,condition,sentence,age,response,comments,ref_spec,picture1,response3,education,target_size,name,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,correct,adj_cond,trial_name
551,<i>What do you think Speaker A meant? </i>,NA,The Empire State Building is tall relative to other,NA,13,NA,NA,NA,NA,1,NA,Susan,1,NA,NA,yes,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",26,buildings,NA,NA,NA,NA,higher_degree,NA,comp_class_warmup,English,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br /><br />,1,1570716026607,1,NA,1,NA,NA,"buildings, scyscrapers, houses, constructions (choose one)",NA,comp_class_warmup
551,NA,small flower,NA,NA,13,warmup/sunflower.png,dandelion,This is a,NA,1,flowers,Susan,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/dandelion.jpg,flowers,higher_degree,NA,NA,English,female,NA,flowers,NA,1,1570716026607,1,This is a,1,These are both,big flower,NA,NA,warmup1
551,NA,flower,NA,NA,13,warmup/sunflower.png,dandelion,This is a,NA,1,flowers,Susan,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/dandelion.jpg,flowers,higher_degree,NA,NA,English,female,NA,flowers,NA,1,1570716026607,2,This is a,1,These are both,flower,NA,NA,warmup1
551,NA,flower,NA,NA,13,warmup/sunflower.png,dandelion,This is a,NA,1,flowers,Susan,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/dandelion.jpg,yellow flowers,higher_degree,NA,NA,English,female,NA,flowers,NA,1,1570716026607,3,This is a,1,These are both,flower,NA,NA,warmup1
551,NA,danelion,NA,NA,13,warmup/sunflower.png,dandelion,This is a,NA,1,flowers,Susan,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/dandelion.jpg,flowers,higher_degree,NA,NA,English,female,NA,flowers,NA,1,1570716026607,4,This is a,1,These are both,sunflower,NA,NA,warmup1
551,NA,dandelion,NA,NA,13,warmup/sunflower.png,dandelion,This is a,NA,1,flowers,Susan,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/dandelion.jpg,flowers,higher_degree,NA,NA,English,female,NA,flowers,NA,1,1570716026607,5,This is a,1,These are both,sunflower,NA,NA,warmup1
551,NA,big tree,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,NA,1,trees,Susan,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/sequoia.png,trees,higher_degree,NA,NA,English,female,NA,trees,NA,2,1570716026607,1,This is a,1,These are both,small tree,NA,NA,warmup1
551,NA,sequoia,NA,NA,13,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,NA,1,trees,Susan,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/sequoia.png,trees,higher_degree,NA,NA,English,female,NA,trees,NA,2,1570716026607,2,This is a,1,These are both,bonsai,NA,NA,warmup1
551,NA,bulldog,NA,NA,13,warmup/great-dane.jpg,pug,This is a,NA,1,dogs,Susan,NA,great dane,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/pug.jpg,dogs,higher_degree,NA,NA,English,female,NA,dogs,NA,3,1570716026607,1,This is a,1,These are both,sog,NA,NA,warmup1
551,NA,pug,NA,NA,13,warmup/great-dane.jpg,pug,This is a,NA,1,dogs,Susan,NA,great dane,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/pug.jpg,dogs,higher_degree,NA,NA,English,female,NA,dogs,NA,3,1570716026607,2,This is a,1,These are both,great dane,NA,NA,warmup1
551,What do you think your friend meant?,NA,It is small relative to other,images/tree-parade-bonsai.png,13,NA,NA,NA,NA,1,trees,Susan,NA,NA,1,yes,"You and your friend see another  bonsai (not pictured), and your friend says: <br/><b>That's a small one.</b>",prenominal,NA,26,trees,NA,2,NA,NA,higher_degree,small,NA,English,female,NA,NA,You and your friend see the following:,1,1570716026607,NA,NA,1,NA,NA,NA,congr,custom_main_text1
551,What do you think your friend meant?,NA,It is small relative to other,images/flower-parade-basic.png,13,NA,NA,NA,NA,1,flowers,Susan,NA,NA,0,yes,"You and your friend see another  dandelion (not pictured), and your friend says: <br/><b>That's a small flower.</b>",prenominal,NA,26,flowers,NA,0,NA,NA,higher_degree,small,NA,English,female,NA,NA,You and your friend see the following:,2,1570716026607,NA,NA,1,NA,NA,NA,basic,custom_main_text1
551,What do you think your friend meant?,NA,It is big relative to other,images/dog-parade-great-dane.png,13,NA,NA,NA,NA,1,dogs2,Susan,NA,NA,1,yes,"You and your friend see another  great dane (not pictured), and your friend says: <br/><b>That's a big great dane.</b>",prenominal,NA,26,dogs,NA,1,NA,NA,higher_degree,big,NA,English,female,NA,NA,You and your friend see the following:,3,1570716026607,NA,NA,1,NA,NA,NA,congr,custom_main_text1
551,NA,robin,NA,NA,13,warmup/eagle.jpg,hummingbird,This is a,NA,1,birds,Susan,NA,eagle,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/colibri.jpg,birds,higher_degree,NA,NA,English,female,NA,birds,NA,1,1570716026607,1,This is an,1,These are both,eagle,NA,NA,warmup2
551,NA,hummingbird,NA,NA,13,warmup/eagle.jpg,hummingbird,This is a,NA,1,birds,Susan,NA,eagle,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/colibri.jpg,birds,higher_degree,NA,NA,English,female,NA,birds,NA,1,1570716026607,2,This is an,1,These are both,eagle,NA,NA,warmup2
551,NA,chihuahua,NA,NA,13,warmup/doberman.png,chihuahua,This is a,NA,1,dogs,Susan,NA,doberman,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/chihuahua.jpg,dogs,higher_degree,NA,NA,English,female,NA,dogs,NA,2,1570716026607,1,This is a,1,These are both,german shepherd,NA,NA,warmup2
551,NA,chihuahua,NA,NA,13,warmup/doberman.png,chihuahua,This is a,NA,1,dogs,Susan,NA,doberman,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/chihuahua.jpg,dogs,higher_degree,NA,NA,English,female,NA,dogs,NA,2,1570716026607,2,This is a,1,These are both,doberman,NA,NA,warmup2
551,NA,garfish,NA,NA,13,warmup/goldfish.png,swordfish,This is a,NA,1,fish,Susan,NA,goldfish,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/swordfish.jpg,fishes,higher_degree,NA,NA,English,female,NA,fish,NA,3,1570716026607,1,This is a,1,These are both,goldfish,NA,NA,warmup2
551,NA,swordfish,NA,NA,13,warmup/goldfish.png,swordfish,This is a,NA,1,fish,Susan,NA,goldfish,NA,yes,Please label the pictures below.,NA,NA,26,NA,NA,NA,warmup/swordfish.jpg,fish,higher_degree,NA,NA,English,female,NA,fish,NA,3,1570716026607,2,This is a,1,These are both,goldfish,NA,NA,warmup2
551,What do you think your friend meant?,NA,It is big relative to other,images/bird-parade-eagle.png,13,NA,NA,NA,NA,1,birds,Susan,NA,NA,1,yes,"You and your friend see another  eagle (not pictured), and your friend says: <br/><b>That's a big one.</b>",prenominal,NA,26,eagles,NA,2,NA,NA,higher_degree,big,NA,English,female,NA,NA,You and your friend see the following:,1,1570716026607,NA,NA,1,NA,NA,NA,congr,custom_main_text2
551,Please rephrase your friend's comment.,NA,It is small relative to other,images/fish-parade-basic.png,13,NA,NA,NA,NA,1,fish,Susan,NA,NA,0,yes,"You and your friend see another  goldfish (not pictured), and your friend says: <br/><b>That's a small fish.</b>",prenominal,NA,26,fishes,NA,0,NA,NA,higher_degree,small,NA,English,female,NA,NA,You and your friend see the following:,2,1570716026607,NA,NA,1,NA,NA,NA,basic,custom_main_text2
551,What do you think your friend meant?,NA,It is big relative to other,images/dog-parade-basic.png,13,NA,NA,NA,NA,1,dogs1,Susan,NA,NA,0,yes,"You and your friend see another  doberman (not pictured), and your friend says: <br/><b>That's a big doberman.</b>",prenominal,NA,26,dogs,NA,1,NA,NA,higher_degree,big,NA,English,female,NA,NA,You and your friend see the following:,3,1570716026607,NA,NA,1,NA,NA,NA,basic,custom_main_text2
