submission_id,trial_number,context_picture,response,target_size,adj,syntax,target,item,adj_cond,response_cat,response_num
2237,1,images/bird-parade-basic.png,birds,small,small,pred,hummingbird,birds,congruent,basic,1
2237,2,images/dog-parade-basic2.png,dogs,small,big,subj,pug,dogs2,incongruent,basic,1
2237,3,images/flower-parade-basic.png,plants,big,small,pred,sunflower,flowers,incongruent,basic,1
2237,1,images/tree-parade-basic.png,trees,big,big,subj,redwood,trees,congruent,basic,1
2237,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2236,1,images/dog-parade-basic2.png,dogs,big,big,subj,Great Dane,dogs2,congruent,basic,1
2236,2,images/tree-parade-basic.png,bonsais,small,big,pred,bonsai,trees,incongruent,subordinate,0
2236,3,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,subordinate,0
2236,1,images/flower-parade-basic.png,sunflowers,big,small,subj,sunflower,flowers,incongruent,subordinate,0
2236,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2235,1,images/dog-parade-basic.png,chihuahua,small,small,pred,chihuahua,dogs1,congruent,subordinate,0
2235,2,images/bird-parade-basic.png,Hummingbird,big,big,subj,eagle,birds,congruent,subordinate,0
2235,3,images/flower-parade-basic.png,flower,big,big,subj,sunflower,flowers,congruent,basic,1
2235,1,images/tree-parade-basic.png,Redwood,small,big,subj,bonsai,trees,incongruent,subordinate,0
2235,2,images/dog-parade-basic2.png,Great Dane,small,big,pred,pug,dogs2,incongruent,subordinate,0
2234,1,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,basic,1
2234,2,images/dog-parade-basic2.png,great dane,big,small,pred,Great Dane,dogs2,incongruent,subordinate,0
2234,3,images/tree-parade-basic.png,trees,small,big,pred,bonsai,trees,incongruent,basic,1
2234,1,images/flower-parade-basic.png,flowers,big,big,pred,sunflower,flowers,congruent,basic,1
2234,2,images/dog-parade-basic.png,dogs,small,big,subj,chihuahua,dogs1,incongruent,basic,1
2233,1,images/tree-parade-basic.png,trees,big,small,subj,redwood,trees,incongruent,basic,1
2233,2,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,basic,1
2233,3,images/bird-parade-basic.png,birds,big,small,pred,eagle,birds,incongruent,basic,1
2233,1,images/flower-parade-basic.png,flowers,small,big,subj,dandelion,flowers,incongruent,basic,1
2233,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2232,1,images/tree-parade-basic.png,trees,small,small,pred,bonsai,trees,congruent,basic,1
2232,2,images/flower-parade-basic.png,flowers,big,small,pred,sunflower,flowers,incongruent,basic,1
2232,3,images/dog-parade-basic2.png,pets,small,small,subj,pug,dogs2,congruent,basic,1
2232,1,images/bird-parade-basic.png,eagles,big,small,pred,eagle,birds,incongruent,subordinate,0
2232,2,images/dog-parade-basic.png,chihuahuas,small,big,subj,chihuahua,dogs1,incongruent,subordinate,0
2231,1,images/bird-parade-basic.png,hummingbirds,small,big,pred,hummingbird,birds,incongruent,subordinate,0
2231,2,images/dog-parade-basic2.png,dogs,big,big,pred,Great Dane,dogs2,congruent,basic,1
2231,3,images/flower-parade-basic.png,sunflowers,big,small,subj,sunflower,flowers,incongruent,subordinate,0
2231,1,images/tree-parade-basic.png,trees,small,small,subj,bonsai,trees,congruent,basic,1
2231,2,images/dog-parade-basic.png,chihuahuas,small,big,subj,chihuahua,dogs1,incongruent,subordinate,0
2230,1,images/bird-parade-basic.png,eagle,big,small,subj,eagle,birds,incongruent,subordinate,0
2230,2,images/dog-parade-basic.png,chihuahua,small,small,pred,chihuahua,dogs1,congruent,subordinate,0
2230,3,images/tree-parade-basic.png,bonsai,small,small,pred,bonsai,trees,congruent,subordinate,0
2230,2,images/flower-parade-basic.png,sunflower,big,small,pred,sunflower,flowers,incongruent,subordinate,0
2229,1,images/flower-parade-basic.png,plants,big,small,subj,sunflower,flowers,incongruent,basic,1
2229,2,images/tree-parade-basic.png,trees,small,small,pred,bonsai,trees,congruent,basic,1
2229,3,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,basic,1
2229,1,images/dog-parade-basic2.png,dogs,small,big,pred,pug,dogs2,incongruent,basic,1
2229,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2228,1,images/flower-parade-basic.png,plants,small,small,subj,dandelion,flowers,congruent,basic,1
2228,2,images/bird-parade-basic.png,birds,small,big,subj,hummingbird,birds,incongruent,basic,1
2228,3,images/dog-parade-basic2.png,dogs,small,small,pred,pug,dogs2,congruent,basic,1
2228,1,images/dog-parade-basic.png,dogs,big,big,pred,doberman,dogs1,congruent,basic,1
2228,2,images/tree-parade-basic.png,trees,big,small,pred,redwood,trees,incongruent,basic,1
2227,3,images/bird-parade-basic.png,Trochilidae,small,big,pred,hummingbird,birds,incongruent,subordinate,0
2227,1,images/tree-parade-basic.png,tall tree,small,small,pred,bonsai,trees,congruent,subordinate,0
2225,1,images/flower-parade-basic.png,flowers,small,big,subj,dandelion,flowers,incongruent,basic,1
2225,2,images/bird-parade-basic.png,birds,big,big,pred,eagle,birds,congruent,basic,1
2225,3,images/dog-parade-basic2.png,canines,big,big,pred,Great Dane,dogs2,congruent,basic,1
2225,1,images/dog-parade-basic.png,dogs,small,small,subj,chihuahua,dogs1,congruent,basic,1
2225,2,images/tree-parade-basic.png,trees,small,big,pred,bonsai,trees,incongruent,basic,1
2223,1,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,basic,1
2223,2,images/bird-parade-basic.png,birds,big,big,pred,eagle,birds,congruent,basic,1
2223,3,images/tree-parade-basic.png,bonsais,small,big,subj,bonsai,trees,incongruent,subordinate,0
2223,1,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,basic,1
2223,2,images/dog-parade-basic.png,dobermans,big,small,pred,doberman,dogs1,incongruent,subordinate,0
2222,1,images/dog-parade-basic2.png,dogs,small,big,pred,pug,dogs2,incongruent,basic,1
2222,2,images/tree-parade-basic.png,trees,big,big,pred,redwood,trees,congruent,basic,1
2222,3,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,subordinate,0
2222,1,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,basic,1
2222,2,images/dog-parade-basic.png,chihuahuas,small,big,subj,chihuahua,dogs1,incongruent,subordinate,0
2221,1,images/tree-parade-basic.png,trees,big,big,pred,redwood,trees,congruent,basic,1
2221,2,images/dog-parade-basic2.png,pug,small,big,pred,pug,dogs2,incongruent,subordinate,0
2221,3,images/flower-parade-basic.png,plants,small,small,subj,dandelion,flowers,congruent,basic,1
2221,1,images/bird-parade-basic.png,birds,big,small,subj,eagle,birds,incongruent,basic,1
2221,2,images/dog-parade-basic.png,dogs,big,small,subj,doberman,dogs1,incongruent,basic,1
2220,1,images/tree-parade-basic.png,bonsais,small,big,pred,bonsai,trees,incongruent,subordinate,0
2220,2,images/dog-parade-basic.png,dobermans,big,small,subj,doberman,dogs1,incongruent,subordinate,0
2220,3,images/bird-parade-basic.png,birds,small,small,pred,hummingbird,birds,congruent,basic,1
2220,1,images/flower-parade-basic.png,flowers,big,big,subj,sunflower,flowers,congruent,basic,1
2220,2,images/dog-parade-basic2.png,great danes,big,small,pred,Great Dane,dogs2,incongruent,subordinate,0
2219,1,images/flower-parade-basic.png,flowers,big,small,subj,sunflower,flowers,incongruent,basic,1
2219,2,images/tree-parade-basic.png,trees,small,small,pred,bonsai,trees,congruent,basic,1
2219,3,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,basic,1
2219,1,images/dog-parade-basic2.png,Great Danes,big,small,pred,Great Dane,dogs2,incongruent,subordinate,0
2219,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2216,1,images/tree-parade-basic.png,redwoods,big,small,pred,redwood,trees,incongruent,subordinate,0
2216,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2216,3,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,subordinate,0
2216,1,images/flower-parade-basic.png,dandelions,small,big,subj,dandelion,flowers,incongruent,subordinate,0
2216,2,images/dog-parade-basic2.png,pugs,small,big,subj,pug,dogs2,incongruent,subordinate,0
2215,1,images/dog-parade-basic2.png,great danes,big,small,pred,Great Dane,dogs2,incongruent,subordinate,0
2215,2,images/flower-parade-basic.png,dandelions,small,big,pred,dandelion,flowers,incongruent,subordinate,0
2215,3,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,subordinate,0
2215,1,images/tree-parade-basic.png,bonsais,small,small,pred,bonsai,trees,congruent,subordinate,0
2215,2,images/dog-parade-basic.png,dobermans,big,small,subj,doberman,dogs1,incongruent,subordinate,0
2214,1,images/dog-parade-basic.png,chihuahuas,small,small,pred,chihuahua,dogs1,congruent,subordinate,0
2214,2,images/dog-parade-basic2.png,dogs,big,big,subj,Great Dane,dogs2,congruent,basic,1
2214,3,images/bird-parade-basic.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,subordinate,0
2214,1,images/tree-parade-basic.png,redwoods,big,small,pred,redwood,trees,incongruent,subordinate,0
2214,2,images/flower-parade-basic.png,dandelions,small,big,subj,dandelion,flowers,incongruent,subordinate,0
2212,1,images/flower-parade-basic.png,sunflowers,big,small,subj,sunflower,flowers,incongruent,subordinate,0
2212,2,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,basic,1
2212,3,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2212,1,images/dog-parade-basic2.png,Great Danes,big,small,pred,Great Dane,dogs2,incongruent,subordinate,0
2212,2,images/tree-parade-basic.png,redwoods,big,small,pred,redwood,trees,incongruent,subordinate,0
2211,1,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,subordinate,0
2211,2,images/flower-parade-basic.png,flowers,big,big,pred,sunflower,flowers,congruent,basic,1
2211,3,images/dog-parade-basic2.png,dogs,small,small,pred,pug,dogs2,congruent,basic,1
2211,1,images/tree-parade-basic.png,bonsais,small,big,pred,bonsai,trees,incongruent,subordinate,0
2211,2,images/dog-parade-basic.png,chihuahua,small,big,subj,chihuahua,dogs1,incongruent,subordinate,0
2210,1,images/dog-parade-basic2.png,pugs,small,big,subj,pug,dogs2,incongruent,subordinate,0
2210,2,images/tree-parade-basic.png,tree,small,small,subj,bonsai,trees,congruent,basic,1
2210,1,images/dog-parade-basic.png,Doberman,big,small,pred,doberman,dogs1,incongruent,subordinate,0
2209,1,images/dog-parade-basic2.png,great danes,big,big,pred,Great Dane,dogs2,congruent,subordinate,0
2209,2,images/dog-parade-basic.png,dogs,small,small,subj,chihuahua,dogs1,congruent,basic,1
2209,3,images/flower-parade-basic.png,flowers,big,big,subj,sunflower,flowers,congruent,basic,1
2209,1,images/tree-parade-basic.png,bonsais,small,big,pred,bonsai,trees,incongruent,subordinate,0
2209,2,images/bird-parade-basic.png,eagles,big,small,subj,eagle,birds,incongruent,subordinate,0
2208,2,images/flower-parade-basic.png,sunflowers,big,small,subj,sunflower,flowers,incongruent,subordinate,0
2208,3,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,subordinate,0
2208,1,images/dog-parade-basic.png,dobermans,big,small,pred,doberman,dogs1,incongruent,subordinate,0
2208,2,images/tree-parade-basic.png,bonsais,small,small,subj,bonsai,trees,congruent,subordinate,0
2207,1,images/flower-parade-basic.png,dandelions,small,big,subj,dandelion,flowers,incongruent,subordinate,0
2207,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,basic,1
2207,3,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,basic,1
2207,1,images/dog-parade-basic2.png,Great Danes,big,small,pred,Great Dane,dogs2,incongruent,subordinate,0
2207,2,images/tree-parade-basic.png,redwoods,big,small,pred,redwood,trees,incongruent,subordinate,0
2206,2,images/flower-parade-basic.png,flowers,big,big,subj,sunflower,flowers,congruent,basic,1
2206,3,images/tree-parade-basic.png,other bonsai,small,big,subj,bonsai,trees,incongruent,subordinate,0
2206,1,images/bird-parade-basic.png,birds,small,small,pred,hummingbird,birds,congruent,basic,1
2206,2,images/dog-parade-basic2.png,other great danes,big,small,pred,Great Dane,dogs2,incongruent,subordinate,0
2205,1,images/dog-parade-basic.png,chihuahuas,small,big,subj,chihuahua,dogs1,incongruent,subordinate,0
2205,2,images/dog-parade-basic2.png,pugs,small,small,subj,pug,dogs2,congruent,subordinate,0
2205,3,images/tree-parade-basic.png,bonsais,small,big,pred,bonsai,trees,incongruent,subordinate,0
2205,1,images/flower-parade-basic.png,sunflowers,big,small,pred,sunflower,flowers,incongruent,subordinate,0
2205,2,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,subordinate,0
2204,1,images/tree-parade-basic.png,redwoods,big,small,pred,redwood,trees,incongruent,subordinate,0
2204,2,images/dog-parade-basic.png,dogs,small,small,subj,chihuahua,dogs1,congruent,basic,1
2204,3,images/dog-parade-basic2.png,pugs,small,big,subj,pug,dogs2,incongruent,subordinate,0
2204,1,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,basic,1
2204,2,images/bird-parade-basic.png,eagles,big,small,subj,eagle,birds,incongruent,subordinate,0
2203,1,images/dog-parade-basic.png,dogs,big,big,pred,doberman,dogs1,congruent,basic,1
2203,2,images/dog-parade-basic2.png,pugs,small,big,subj,pug,dogs2,incongruent,subordinate,0
2203,3,images/flower-parade-basic.png,dandelions,small,big,subj,dandelion,flowers,incongruent,subordinate,0
2203,1,images/tree-parade-basic.png,bonsai,small,big,pred,bonsai,trees,incongruent,subordinate,0
2203,2,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,basic,1
2202,1,images/tree-parade-basic.png,redwood,small,small,subj,bonsai,trees,congruent,subordinate,0
2202,2,images/flower-parade-basic.png,sunflower,small,big,pred,dandelion,flowers,incongruent,subordinate,0
2202,3,images/dog-parade-basic2.png,pug,big,big,subj,Great Dane,dogs2,congruent,subordinate,0
2202,1,images/bird-parade-basic.png,bird,big,big,pred,eagle,birds,congruent,basic,1
2202,2,images/dog-parade-basic.png,pug,big,small,subj,doberman,dogs1,incongruent,subordinate,0
2201,1,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,basic,1
2201,2,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,basic,1
2201,3,images/tree-parade-basic.png,trees,small,big,pred,bonsai,trees,incongruent,basic,1
2201,1,images/dog-parade-basic.png,dogs,big,small,subj,doberman,dogs1,incongruent,basic,1
2201,2,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,subordinate,0
2200,1,images/tree-parade-basic.png,trees,big,big,subj,redwood,trees,congruent,basic,1
2200,2,images/flower-parade-basic.png,flowers,small,big,pred,dandelion,flowers,incongruent,basic,1
2200,3,images/dog-parade-basic2.png,pugs,small,small,pred,pug,dogs2,congruent,subordinate,0
2200,1,images/dog-parade-basic.png,dobermen,big,small,subj,doberman,dogs1,incongruent,subordinate,0
2200,2,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,basic,1
2199,1,images/bird-parade-basic.png,eagles,big,small,pred,eagle,birds,incongruent,subordinate,0
2199,2,images/dog-parade-basic.png,dobermans,big,small,pred,doberman,dogs1,incongruent,subordinate,0
2199,3,images/dog-parade-basic2.png,pugs,small,big,subj,pug,dogs2,incongruent,subordinate,0
2199,1,images/tree-parade-basic.png,redwoods,big,big,subj,redwood,trees,congruent,subordinate,0
2199,2,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,basic,1
2198,1,images/flower-parade-basic.png,sunflowers,big,big,subj,sunflower,flowers,congruent,subordinate,0
2198,2,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,subordinate,0
2198,3,images/dog-parade-basic.png,chihuahuas,small,big,subj,chihuahua,dogs1,incongruent,subordinate,0
2198,1,images/tree-parade-basic.png,redwoods,big,small,pred,redwood,trees,incongruent,subordinate,0
2198,2,images/dog-parade-basic2.png,pugs,small,small,pred,pug,dogs2,congruent,subordinate,0
2197,1,images/tree-parade-basic.png,trees,big,big,pred,redwood,trees,congruent,basic,1
2197,2,images/flower-parade-basic.png,sunflowers,big,big,subj,sunflower,flowers,congruent,subordinate,0
2197,3,images/dog-parade-basic.png,dobertmans,big,small,subj,doberman,dogs1,incongruent,subordinate,0
2197,1,images/dog-parade-basic2.png,pugs,small,big,pred,pug,dogs2,incongruent,subordinate,0
2197,2,images/bird-parade-basic.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,subordinate,0
2196,2,images/dog-parade-basic.png,dogs,small,small,subj,chihuahua,dogs1,congruent,basic,1
2196,3,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,basic,1
2196,1,images/flower-parade-basic.png,flowers,big,small,pred,sunflower,flowers,incongruent,basic,1
2196,2,images/dog-parade-basic2.png,dogs,small,small,pred,pug,dogs2,congruent,basic,1
2195,1,images/tree-parade-basic.png,trees,big,big,subj,redwood,trees,congruent,basic,1
2195,2,images/dog-parade-basic2.png,great danes,big,big,pred,Great Dane,dogs2,congruent,subordinate,0
2195,3,images/bird-parade-basic.png,eagles,big,small,pred,eagle,birds,incongruent,subordinate,0
2195,1,images/flower-parade-basic.png,dandelions,small,small,subj,dandelion,flowers,congruent,subordinate,0
2195,2,images/dog-parade-basic.png,chihuahuas,small,big,subj,chihuahua,dogs1,incongruent,subordinate,0
2194,1,images/dog-parade-basic.png,dogs,big,big,pred,doberman,dogs1,congruent,basic,1
2194,2,images/flower-parade-basic.png,dandelions,small,big,pred,dandelion,flowers,incongruent,subordinate,0
2194,3,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,basic,1
2194,1,images/tree-parade-basic.png,bonsai,small,big,subj,bonsai,trees,incongruent,subordinate,0
2194,2,images/bird-parade-basic.png,eagles,big,small,pred,eagle,birds,incongruent,subordinate,0
2193,1,images/bird-parade-basic.png,birds,small,small,pred,hummingbird,birds,congruent,basic,1
2193,2,images/dog-parade-basic2.png,dogs,small,big,pred,pug,dogs2,incongruent,basic,1
2193,3,images/tree-parade-basic.png,trees,big,small,pred,redwood,trees,incongruent,basic,1
2193,1,images/dog-parade-basic.png,dogs,big,small,subj,doberman,dogs1,incongruent,basic,1
2193,2,images/flower-parade-basic.png,plants,big,big,subj,sunflower,flowers,congruent,basic,1
2192,1,images/flower-parade-basic.png,flowers,big,big,subj,sunflower,flowers,congruent,basic,1
2192,2,images/dog-parade-basic.png,dogs,big,small,subj,doberman,dogs1,incongruent,basic,1
2192,3,images/dog-parade-basic2.png,dogs,small,big,subj,pug,dogs2,incongruent,basic,1
2192,1,images/tree-parade-basic.png,trees,small,big,pred,bonsai,trees,incongruent,basic,1
2192,2,images/bird-parade-basic.png,birds,big,big,pred,eagle,birds,congruent,basic,1
