workerid,trial_number,context_picture,response,target_size,adj,syntax,target,item,adj_cond,trial_type,response_num
workerid_0001,1,images/tree-parade-basic_filler.png,trees,big,big,subj,redwood,trees,congruent,filler,1
workerid_0001,2,images/flower-parade-basic.png,flowers,small,small,subj,dandelion,flowers,congruent,critical,1
workerid_0001,3,images/flower-parade-basic_filler.png,sunflowers,big,big,pred,sunflower,flowers,congruent,filler,0
workerid_0001,4,images/tree-parade-basic.png,landmarks,small,small,pred,bonsai,trees,congruent,critical,0
workerid_0001,1,images/dog-parade-basic2_filler.png,dogs,small,small,subj,pug,dogs2,congruent,filler,1
workerid_0001,2,images/dog-parade-basic2.png,dogs,big,big,pred,Great Dane,dogs2,congruent,critical,1
workerid_0001,3,images/bird-parade-basic_filler.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,filler,0
workerid_0001,4,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,critical,0
workerid_0002,1,images/bird-parade-basic_filler.png,eagles,big,big,pred,eagle,birds,congruent,filler,0
workerid_0002,2,images/dog-parade-basic2.png,great dane,big,big,pred,Great Dane,dogs2,congruent,critical,0
workerid_0002,3,images/bird-parade-basic.png,hummingbirds,small,small,subj,hummingbird,birds,congruent,critical,0
workerid_0002,4,images/dog-parade-basic2_filler.png,pugs,small,small,subj,pug,dogs2,congruent,filler,0
workerid_0002,1,images/tree-parade-basic_filler.png,bonsai,small,small,pred,bonsai,trees,congruent,filler,0
workerid_0002,2,images/flower-parade-basic_filler.png,sunflower,big,big,subj,sunflower,flowers,congruent,filler,0
workerid_0002,3,images/tree-parade-basic.png,landmark,big,big,subj,redwood,trees,congruent,critical,1
workerid_0002,4,images/flower-parade-basic.png,gift,small,small,pred,dandelion,flowers,congruent,critical,1
workerid_0003,1,images/tree-parade-basic_filler.png,trees,small,small,subj,bonsai,trees,congruent,filler,1
workerid_0003,2,images/dog-parade-basic_filler.png,dogs,big,big,pred,doberman,dogs1,congruent,filler,1
workerid_0003,3,images/dog-parade-basic.png,dogs,small,small,subj,chihuahua,dogs1,congruent,critical,1
workerid_0003,4,images/tree-parade-basic.png,trees,big,big,pred,redwood,trees,congruent,critical,1
workerid_0003,1,images/flower-parade-basic_filler.png,flowers,big,big,subj,sunflower,flowers,congruent,filler,1
workerid_0003,2,images/dog-parade-basic2_filler.png,pugs,small,small,pred,pug,dogs2,congruent,filler,0
workerid_0003,3,images/dog-parade-basic2.png,dogs,big,big,subj,Great Dane,dogs2,congruent,critical,1
workerid_0003,4,images/flower-parade-basic.png,dandelions,small,small,pred,dandelion,flowers,congruent,critical,0
workerid_0004,1,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1
workerid_0004,2,images/flower-parade-basic_filler.png,flowers,small,small,pred,dandelion,flowers,congruent,filler,1
workerid_0004,3,images/flower-parade-basic.png,sunflowers,big,big,subj,sunflower,flowers,congruent,critical,0
workerid_0004,4,images/tree-parade-basic.png,bonsais,small,small,subj,bonsai,trees,congruent,critical,0
workerid_0004,1,images/dog-parade-basic_filler.png,dogs,big,big,subj,doberman,dogs1,congruent,filler,1
workerid_0004,2,images/bird-parade-basic_filler.png,birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0004,3,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,critical,0
workerid_0004,4,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,critical,1
workerid_0006,1,images/dog-parade-basic2_filler.png,ANIMAL,small,small,pred,pug,dogs2,congruent,filler,1
workerid_0006,2,images/tree-parade-basic_filler.png,OTHER TREE,big,big,pred,redwood,trees,congruent,filler,1
workerid_0006,3,images/dog-parade-basic2.png,PRIZE WINNER,big,big,subj,Great Dane,dogs2,congruent,critical,1
workerid_0006,4,images/tree-parade-basic.png,LANDMARK,small,small,subj,bonsai,trees,congruent,critical,1
workerid_0006,1,images/dog-parade-basic_filler.png,dogs,small,small,subj,chihuahua,dogs1,congruent,filler,1
workerid_0006,2,images/bird-parade-basic.png,birds,small,small,pred,hummingbird,birds,congruent,critical,1
workerid_0006,3,images/dog-parade-basic.png,doberman,big,big,pred,doberman,dogs1,congruent,critical,0
workerid_0006,4,images/bird-parade-basic_filler.png,birds,big,big,subj,eagle,birds,congruent,filler,1
workerid_0008,1,images/bird-parade-basic_filler.png,other birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0008,2,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1
workerid_0008,3,images/bird-parade-basic.png,birds,big,big,pred,eagle,birds,congruent,critical,1
workerid_0008,4,images/tree-parade-basic.png,nearby trees.,small,small,subj,bonsai,trees,congruent,critical,1
workerid_0008,1,images/flower-parade-basic_filler.png,flowers,small,small,pred,dandelion,flowers,congruent,filler,1
workerid_0008,2,images/dog-parade-basic2_filler.png,animals,big,big,subj,Great Dane,dogs2,congruent,filler,1
workerid_0008,3,images/flower-parade-basic.png,gift flowers,big,big,subj,sunflower,flowers,congruent,critical,1
workerid_0008,4,images/dog-parade-basic2.png,pugs,small,small,pred,pug,dogs2,congruent,critical,0
workerid_0009,1,images/bird-parade-basic_filler.png,thats a big eagle,big,big,pred,eagle,birds,congruent,filler,0
workerid_0009,2,images/tree-parade-basic.png,bonsai,small,small,pred,bonsai,trees,congruent,critical,0
workerid_0009,3,images/bird-parade-basic.png,hummingbird,small,small,subj,hummingbird,birds,congruent,critical,0
workerid_0009,4,images/tree-parade-basic_filler.png,redwood,big,big,subj,redwood,trees,congruent,filler,0
workerid_0009,1,images/dog-parade-basic_filler.png,chihuahua,small,small,pred,chihuahua,dogs1,congruent,filler,0
workerid_0009,2,images/dog-parade-basic2.png,big great dane,big,big,pred,Great Dane,dogs2,congruent,critical,0
workerid_0009,3,images/dog-parade-basic.png,doberman,big,big,subj,doberman,dogs1,congruent,critical,0
workerid_0009,4,images/dog-parade-basic2_filler.png,pug,small,small,subj,pug,dogs2,congruent,filler,0
workerid_0010,1,images/bird-parade-basic_filler.png,birds,small,small,pred,hummingbird,birds,congruent,filler,1
workerid_0010,2,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,critical,1
workerid_0010,3,images/tree-parade-basic.png,trees,big,big,pred,redwood,trees,congruent,critical,1
workerid_0010,4,images/tree-parade-basic_filler.png,trees,small,small,subj,bonsai,trees,congruent,filler,1
workerid_0010,1,images/dog-parade-basic_filler.png,dogs,big,big,subj,doberman,dogs1,congruent,filler,1
workerid_0010,2,images/dog-parade-basic2_filler.png,dogs,big,big,pred,Great Dane,dogs2,congruent,filler,1
workerid_0010,3,images/dog-parade-basic2.png,dogs,small,small,subj,pug,dogs2,congruent,critical,1
workerid_0010,4,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,critical,1
workerid_0012,1,images/dog-parade-basic2_filler.png,dogs,small,small,subj,pug,dogs2,congruent,filler,1
workerid_0012,2,images/flower-parade-basic_filler.png,sunflowers,big,big,pred,sunflower,flowers,congruent,filler,0
workerid_0012,3,images/flower-parade-basic.png,dandelions,small,small,subj,dandelion,flowers,congruent,critical,0
workerid_0012,4,images/dog-parade-basic2.png,dogs,big,big,pred,Great Dane,dogs2,congruent,critical,1
workerid_0012,1,images/dog-parade-basic_filler.png,dobermans,big,big,subj,doberman,dogs1,congruent,filler,0
workerid_0012,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,critical,1
workerid_0012,3,images/tree-parade-basic_filler.png,bonsai,small,small,pred,bonsai,trees,congruent,filler,0
workerid_0012,4,images/tree-parade-basic.png,trees,big,big,subj,redwood,trees,congruent,critical,1
workerid_0013,1,images/flower-parade-basic_filler.png,flowers,small,small,subj,dandelion,flowers,congruent,filler,1
workerid_0013,2,images/flower-parade-basic.png,flowers,big,big,pred,sunflower,flowers,congruent,critical,1
workerid_0013,3,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1
workerid_0013,4,images/bird-parade-basic.png,rescues,small,small,subj,hummingbird,birds,congruent,critical,1
workerid_0013,1,images/tree-parade-basic_filler.png,trees,big,big,subj,redwood,trees,congruent,filler,1
workerid_0013,2,images/tree-parade-basic.png,trees,small,small,pred,bonsai,trees,congruent,critical,1
workerid_0013,3,images/dog-parade-basic2.png,prize winner,big,big,subj,Great Dane,dogs2,congruent,critical,1
workerid_0013,4,images/dog-parade-basic2_filler.png,dogs,small,small,pred,pug,dogs2,congruent,filler,1
workerid_0014,1,images/bird-parade-basic_filler.png,hummingbird,small,small,pred,hummingbird,birds,congruent,filler,0
workerid_0014,2,images/dog-parade-basic2.png,dogs,small,small,pred,pug,dogs2,congruent,critical,1
workerid_0014,3,images/bird-parade-basic.png,eagle,big,big,subj,eagle,birds,congruent,critical,0
workerid_0014,4,images/dog-parade-basic2_filler.png,Great Dane,big,big,subj,Great Dane,dogs2,congruent,filler,0
workerid_0014,1,images/tree-parade-basic_filler.png,bonsai,small,small,subj,bonsai,trees,congruent,filler,0
workerid_0014,2,images/flower-parade-basic_filler.png,flowers,big,big,pred,sunflower,flowers,congruent,filler,1
workerid_0014,3,images/flower-parade-basic.png,gifts,small,small,subj,dandelion,flowers,congruent,critical,1
workerid_0014,4,images/tree-parade-basic.png,redwood,big,big,pred,redwood,trees,congruent,critical,0
workerid_0015,1,images/tree-parade-basic_filler.png,trees,big,big,subj,redwood,trees,congruent,filler,1
workerid_0015,2,images/tree-parade-basic.png,bonsais,small,small,pred,bonsai,trees,congruent,critical,0
workerid_0015,3,images/bird-parade-basic_filler.png,birds,small,small,subj,hummingbird,birds,congruent,filler,1
workerid_0015,4,images/bird-parade-basic.png,eagles,big,big,pred,eagle,birds,congruent,critical,0
workerid_0015,1,images/dog-parade-basic2_filler.png,pugs,small,small,pred,pug,dogs2,congruent,filler,0
workerid_0015,2,images/dog-parade-basic.png,chihuahuas,small,small,subj,chihuahua,dogs1,congruent,critical,0
workerid_0015,3,images/dog-parade-basic_filler.png,dobermans,big,big,pred,doberman,dogs1,congruent,filler,0
workerid_0015,4,images/dog-parade-basic2.png,Great Danes,big,big,subj,Great Dane,dogs2,congruent,critical,0
workerid_0016,1,images/dog-parade-basic_filler.png,dobermans,big,big,subj,doberman,dogs1,congruent,filler,0
workerid_0016,2,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,critical,1
workerid_0016,3,images/flower-parade-basic_filler.png,flowers,small,small,subj,dandelion,flowers,congruent,filler,1
workerid_0016,4,images/flower-parade-basic.png,flowers,big,big,pred,sunflower,flowers,congruent,critical,1
workerid_0016,1,images/dog-parade-basic2_filler.png,dogs,big,big,pred,Great Dane,dogs2,congruent,filler,1
workerid_0016,2,images/bird-parade-basic_filler.png,birds,small,small,pred,hummingbird,birds,congruent,filler,1
workerid_0016,3,images/dog-parade-basic2.png,prize-winners,small,small,subj,pug,dogs2,congruent,critical,1
workerid_0016,4,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,critical,0
workerid_0017,1,images/flower-parade-basic_filler.png,flowers,big,big,subj,sunflower,flowers,congruent,filler,1
workerid_0017,2,images/dog-parade-basic2_filler.png,dogs,small,small,subj,pug,dogs2,congruent,filler,1
workerid_0017,3,images/flower-parade-basic.png,prize flowers,small,small,pred,dandelion,flowers,congruent,critical,1
workerid_0017,4,images/dog-parade-basic2.png,prize dogs,big,big,pred,Great Dane,dogs2,congruent,critical,1
workerid_0017,1,images/bird-parade-basic_filler.png,birds,small,small,pred,hummingbird,birds,congruent,filler,1
workerid_0017,2,images/dog-parade-basic.png,service-animals,small,small,subj,chihuahua,dogs1,congruent,critical,1
workerid_0017,3,images/bird-parade-basic.png,birds,big,big,subj,eagle,birds,congruent,critical,1
workerid_0017,4,images/dog-parade-basic_filler.png,dogs,big,big,pred,doberman,dogs1,congruent,filler,1
workerid_0018,1,images/dog-parade-basic_filler.png,dogs,big,big,subj,doberman,dogs1,congruent,filler,1
workerid_0018,2,images/tree-parade-basic.png,trees,big,big,pred,redwood,trees,congruent,critical,1
workerid_0018,3,images/dog-parade-basic.png,dogs,small,small,pred,chihuahua,dogs1,congruent,critical,1
workerid_0018,4,images/tree-parade-basic_filler.png,trees,small,small,subj,bonsai,trees,congruent,filler,1
workerid_0018,1,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1
workerid_0018,2,images/flower-parade-basic_filler.png,flowers,small,small,pred,dandelion,flowers,congruent,filler,1
workerid_0018,3,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,critical,1
workerid_0018,4,images/flower-parade-basic.png,flowers,big,big,subj,sunflower,flowers,congruent,critical,1
workerid_0019,1,images/dog-parade-basic_filler.png,dogs,small,small,subj,chihuahua,dogs1,congruent,filler,1
workerid_0019,2,images/dog-parade-basic.png,dobermans,big,big,pred,doberman,dogs1,congruent,critical,0
