workerid,trial_number,context_picture,response,target_size,adj,syntax,target,item,adj_cond,trial_type,response_num,trial_dev,syntax_dev
2255,1,images/flower-parade-basic_filler.png,sunflowers,big,big,subj,sunflower,flowers,congruent,filler,0,filler,subj
2255,2,images/tree-parade-basic.png,redwoods,big,big,subj,redwood,trees,congruent,critical,0,critical,subj
2255,3,images/tree-parade-basic_filler.png,bonsais,small,small,subj,bonsai,trees,congruent,filler,0,filler,subj
2255,4,images/flower-parade-basic.png,dandelions,small,small,pred,dandelion,flowers,congruent,critical,0,critical,pred
2255,1,images/bird-parade-basic_filler.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,filler,0,filler,pred
2255,2,images/dog-parade-basic_filler.png,dobermans,big,big,pred,doberman,dogs1,congruent,filler,0,filler,pred
2255,3,images/dog-parade-basic.png,chihuahuas,small,small,pred,chihuahua,dogs1,congruent,critical,0,critical,pred
2255,4,images/bird-parade-basic.png,eagles,big,big,subj,eagle,birds,congruent,critical,0,critical,subj
2254,1,images/dog-parade-basic2_filler.png,dogs,small,small,subj,pug,dogs2,congruent,filler,1,filler,subj
2254,2,images/dog-parade-basic.png,dogs,small,small,subj,chihuahua,dogs1,congruent,critical,1,critical,subj
2254,3,images/dog-parade-basic_filler.png,dogs,big,big,subj,doberman,dogs1,congruent,filler,1,filler,subj
2254,4,images/dog-parade-basic2.png,dogs,big,big,pred,Great Dane,dogs2,congruent,critical,1,critical,pred
2254,1,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1,filler,pred
2254,2,images/flower-parade-basic_filler.png,dandelions,small,small,pred,dandelion,flowers,congruent,filler,0,filler,pred
2254,3,images/flower-parade-basic.png,sunflowers,big,big,pred,sunflower,flowers,congruent,critical,0,critical,pred
2254,4,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,critical,1,critical,subj
2253,1,images/flower-parade-basic_filler.png,flowers,small,small,pred,dandelion,flowers,congruent,filler,1,filler,pred
2253,2,images/flower-parade-basic.png,gifts,big,big,subj,sunflower,flowers,congruent,critical,1,critical,subj
2253,3,images/dog-parade-basic2.png,dogs,big,big,subj,Great Dane,dogs2,congruent,critical,1,critical,subj
2253,4,images/dog-parade-basic2_filler.png,pugs,small,small,subj,pug,dogs2,congruent,filler,0,filler,subj
2253,1,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1,filler,pred
2253,2,images/bird-parade-basic.png,rescues,small,small,pred,hummingbird,birds,congruent,critical,1,critical,pred
2253,3,images/dog-parade-basic_filler.png,dogs,big,big,subj,doberman,dogs1,congruent,filler,1,filler,subj
2253,4,images/dog-parade-basic.png,chihuahuas,small,small,pred,chihuahua,dogs1,congruent,critical,0,critical,pred
2252,1,images/bird-parade-basic_filler.png,hummingbirds,small,small,pred,hummingbird,birds,congruent,filler,0,filler,pred
2252,2,images/tree-parade-basic_filler.png,bonsai,small,small,pred,bonsai,trees,congruent,filler,0,filler,pred
2252,3,images/bird-parade-basic.png,rescues,big,big,pred,eagle,birds,congruent,critical,1,critical,pred
2252,4,images/tree-parade-basic.png,landmarks,big,big,subj,redwood,trees,congruent,critical,1,critical,subj
2252,1,images/dog-parade-basic2_filler.png,Great danes,big,big,subj,Great Dane,dogs2,congruent,filler,0,filler,subj
2252,2,images/dog-parade-basic2.png,pugs,small,small,pred,pug,dogs2,congruent,critical,0,critical,pred
2252,3,images/dog-parade-basic.png,chihuahuas,small,small,subj,chihuahua,dogs1,congruent,critical,0,critical,subj
2252,4,images/dog-parade-basic_filler.png,dobermans,big,big,subj,doberman,dogs1,congruent,filler,0,filler,subj
2251,1,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1,filler,pred
2251,2,images/dog-parade-basic2_filler.png,dogs,small,small,subj,pug,dogs2,congruent,filler,1,filler,subj
2251,3,images/tree-parade-basic.png,landmarks,small,small,subj,bonsai,trees,congruent,critical,1,critical,subj
2251,4,images/dog-parade-basic2.png,prizewinners,big,big,pred,Great Dane,dogs2,congruent,critical,1,critical,pred
2251,1,images/flower-parade-basic_filler.png,flowers,small,small,pred,dandelion,flowers,congruent,filler,1,filler,pred
2251,2,images/flower-parade-basic.png,gifts,big,big,subj,sunflower,flowers,congruent,critical,1,critical,subj
2251,3,images/dog-parade-basic.png,service animals,small,small,pred,chihuahua,dogs1,congruent,critical,1,critical,pred
2251,4,images/dog-parade-basic_filler.png,dogs,big,big,subj,doberman,dogs1,congruent,filler,1,filler,subj
2250,1,images/dog-parade-basic2_filler.png,dogs,small,small,subj,pug,dogs2,congruent,filler,1,filler,subj
2250,2,images/tree-parade-basic.png,landmarks,small,small,subj,bonsai,trees,congruent,critical,1,critical,subj
2250,3,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1,filler,pred
2250,4,images/dog-parade-basic2.png,dogs,big,big,pred,Great Dane,dogs2,congruent,critical,1,critical,pred
2250,1,images/bird-parade-basic_filler.png,birds,big,big,pred,eagle,birds,congruent,filler,1,filler,pred
2250,2,images/flower-parade-basic_filler.png,flowers,big,big,subj,sunflower,flowers,congruent,filler,1,filler,subj
2250,3,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,critical,1,critical,pred
2250,4,images/bird-parade-basic.png,birds,small,small,subj,hummingbird,birds,congruent,critical,1,critical,subj
2249,1,images/flower-parade-basic_filler.png,flowers,big,big,subj,sunflower,flowers,congruent,filler,1,filler,subj
2249,2,images/flower-parade-basic.png,flowers,small,small,pred,dandelion,flowers,congruent,critical,1,critical,pred
2249,3,images/tree-parade-basic_filler.png,trees,big,big,pred,redwood,trees,congruent,filler,1,filler,pred
2249,4,images/tree-parade-basic.png,landmarks,small,small,pred,bonsai,trees,congruent,critical,1,critical,pred
2249,1,images/dog-parade-basic2_filler.png,dogs,small,small,subj,pug,dogs2,congruent,filler,1,filler,subj
2249,2,images/dog-parade-basic2.png,prize winnders,big,big,subj,Great Dane,dogs2,congruent,critical,1,critical,subj
