submission_id,trial_number,ref_spec,context,item,response,condition,context_picture,target_size,response_cat,response_num,response_label
625,1,1,subordinate parade,fish,goldfish,predicative,images/fish-parade-goldfish.png,small,sub,0,basic
625,2,1,basic-level parade,flowers,flowers,predicative,images/flower-parade-basic.png,small,basic,1,basic
625,3,1,subordinate parade,dogs2,dogs,predicative,images/dog-parade-great-dane.png,big,basic,1,basic
625,1,1,basic-level parade,dogs1,dogs,predicative,images/dog-parade-basic.png,big,basic,1,basic
625,2,1,basic-level parade,birds,birds,predicative,images/bird-parade-basic.png,small,basic,1,basic
625,3,1,subordinate parade,trees,trees,predicative,images/tree-parade-redwood.png,big,basic,1,basic
624,1,1,basic-level parade,dogs1,dobermans,predicative,images/dog-parade-basic.png,big,sub,0,basic
624,2,1,basic-level parade,birds,hummingbirds,predicative,images/bird-parade-basic.png,small,sub,0,basic
624,3,1,subordinate parade,fish,swordfish,predicative,images/fish-parade-swordfish.png,big,sub,0,basic
624,1,1,basic-level parade,trees,bonsais,predicative,images/tree-parade-basic.png,small,sub,0,basic
624,2,1,subordinate parade,flowers,dandelions,predicative,images/flower-parade-dandelion.png,small,sub,0,basic
624,3,1,subordinate parade,dogs2,great danes,predicative,images/dog-parade-great-dane.png,big,sub,0,basic
623,1,1,subordinate parade,dogs2,pugs,predicative,images/dog-parade-pug.png,small,sub,0,basic
623,2,1,subordinate parade,flowers,dandelions,predicative,images/flower-parade-dandelion.png,small,sub,0,basic
623,3,1,basic-level parade,birds,birds,predicative,images/bird-parade-basic.png,big,basic,1,basic
623,1,1,subordinate parade,dogs1,doberman,predicative,images/dog-parade-doberman.png,big,sub,0,basic
623,2,1,basic-level parade,fish,fish,predicative,images/fish-parade-basic.png,big,basic,1,basic
623,3,1,basic-level parade,trees,trees,predicative,images/tree-parade-basic.png,small,basic,1,basic
621,1,1,subordinate parade,dogs2,dogs,predicative,images/dog-parade-pug.png,small,basic,1,basic
